SAMPL_TIME,COL,ROW,TIL,MIX,PND,INFIL_OZ.SEC,TOTRAD_oz,RADL_CM,Wd_Abn,Wd_Dn,Wd_Cov
Early,A,1,Tractor,null,5,NA,NA,NA,7,4,NA
Early,A,1,Tractor,null,6,NA,NA,NA,7,4,NA
Early,A,1,Tractor,null,7,NA,NA,NA,7,4,NA
Early,A,1,Tractor,null,10,NA,NA,NA,7,4,NA
Early,A,2,Tractor,pere,9,NA,NA,NA,6,4,NA
Early,A,2,Tractor,pere,7,NA,NA,NA,6,4,NA
Early,A,2,Tractor,pere,9,NA,NA,NA,6,4,NA
Early,A,2,Tractor,pere,8,NA,NA,NA,6,4,NA
Early,A,3,Tractor,wdsp,8,0.26,NA,NA,4,2,NA
Early,A,3,Tractor,wdsp,7,0.26,NA,NA,4,2,NA
Early,A,3,Tractor,wdsp,7,0.26,NA,NA,4,2,NA
Early,A,3,Tractor,wdsp,4,0.26,NA,NA,4,2,NA
Early,A,4,Roto,wdsp,4,1.7,NA,NA,4,2,NA
Early,A,4,Roto,wdsp,4,1.7,NA,NA,4,2,NA
Early,A,4,Roto,wdsp,4,1.7,NA,NA,4,2,NA
Early,A,4,Roto,wdsp,4,1.7,NA,NA,4,2,NA
Early,A,5,Roto,comp,4,NA,NA,NA,5,4,NA
Early,A,5,Roto,comp,3,NA,NA,NA,5,4,NA
Early,A,5,Roto,comp,3,NA,NA,NA,5,4,NA
Early,A,5,Roto,comp,4,NA,NA,NA,5,4,NA
Early,A,6,Roto,null,2,NA,NA,NA,5,3,NA
Early,A,6,Roto,null,3,NA,NA,NA,5,3,NA
Early,A,6,Roto,null,4,NA,NA,NA,5,3,NA
Early,A,6,Roto,null,3,NA,NA,NA,5,3,NA
Early,A,7,No,pere,2,NA,NA,NA,7,3,NA
Early,A,7,No,pere,2,NA,NA,NA,7,3,NA
Early,A,7,No,pere,2,NA,NA,NA,7,3,NA
Early,A,7,No,pere,3,NA,NA,NA,7,3,NA
Early,A,8,No,pere,2,NA,NA,NA,8,1,NA
Early,A,8,No,pere,3,NA,NA,NA,8,1,NA
Early,A,8,No,pere,3,NA,NA,NA,8,1,NA
Early,A,8,No,pere,3,NA,NA,NA,8,1,NA
Early,A,9,No,wdsp,5,0.37,NA,NA,4,2,NA
Early,A,9,No,wdsp,5,0.37,NA,NA,4,2,NA
Early,A,9,No,wdsp,6,0.37,NA,NA,4,2,NA
Early,A,9,No,wdsp,5,0.37,NA,NA,4,2,NA
Early,B,1,Tractor,comp,7,NA,NA,NA,8,5,NA
Early,B,1,Tractor,comp,12,NA,NA,NA,8,5,NA
Early,B,1,Tractor,comp,12,NA,NA,NA,8,5,NA
Early,B,1,Tractor,comp,8,NA,NA,NA,8,5,NA
Early,B,2,Tractor,wdsp,9,0.68,NA,NA,2,1,NA
Early,B,2,Tractor,wdsp,9,0.68,NA,NA,2,1,NA
Early,B,2,Tractor,wdsp,10,0.68,NA,NA,2,1,NA
Early,B,2,Tractor,wdsp,9,0.68,NA,NA,2,1,NA
